Category,Name,Offset,NameByCN,NameByEN,NameByVI
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_0,24000,上料轴1_Axis_Pos_0,Loading shaft 1_Axis_Pos_0,Tr?c cho ?n 1_tr?c_??a ?i?m_0
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_1,24002,上料轴1_Axis_Pos_1,Loading shaft 1_Axis_Pos_1,Tr?c cho ?n 1_tr?c_??a ?i?m_1
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_2,24004,上料轴1_Axis_Pos_2,Loading shaft 1_Axis_Pos_2,Tr?c cho ?n 1_tr?c_??a ?i?m_2
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_3,24006,上料轴1_Axis_Pos_3,Loading shaft 1_Axis_Pos_3,Tr?c cho ?n 1_tr?c_??a ?i?m_3
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_4,24008,上料轴1_Axis_Pos_4,Loading shaft 1_Axis_Pos_4,Tr?c cho ?n 1_tr?c_??a ?i?m_4
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_5,24010,上料轴1_Axis_Pos_5,Loading shaft 1_Axis_Pos_5,Tr?c cho ?n 1_tr?c_??a ?i?m_5
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_6,24012,上料轴1_Axis_Pos_6,Loading shaft 1_Axis_Pos_6,Tr?c cho ?n 1_tr?c_??a ?i?m_6
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_7,24014,上料轴1_Axis_Pos_7,Loading shaft 1_Axis_Pos_7,Tr?c cho ?n 1_tr?c_??a ?i?m_7
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_8,24016,上料轴1_Axis_Pos_8,Loading shaft 1_Axis_Pos_8,Tr?c cho ?n 1_tr?c_??a ?i?m_8
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_9,24018,上料轴1_Axis_Pos_9,Loading shaft 1_Axis_Pos_9,Tr?c cho ?n 1_tr?c_??a ?i?m_9
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_10,24020,上料轴1_Axis_Pos_10,Loading shaft 1_Axis_Pos_10,Tr?c cho ?n 1_tr?c_??a ?i?m_10
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_11,24022,上料轴1_Axis_Pos_11,Loading shaft 1_Axis_Pos_11,Tr?c cho ?n 1_tr?c_??a ?i?m_11
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_12,24024,上料轴1_Axis_Pos_12,Loading shaft 1_Axis_Pos_12,Tr?c cho ?n 1_tr?c_??a ?i?m_12
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_13,24026,上料轴1_Axis_Pos_13,Loading shaft 1_Axis_Pos_13,Tr?c cho ?n 1_tr?c_??a ?i?m_13
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_14,24028,上料轴1_Axis_Pos_14,Loading shaft 1_Axis_Pos_14,Tr?c cho ?n 1_tr?c_??a ?i?m_14
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_15,24030,上料轴1_Axis_Pos_15,Loading shaft 1_Axis_Pos_15,Tr?c cho ?n 1_tr?c_??a ?i?m_15
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_16,24032,上料轴1_Axis_Pos_16,Loading shaft 1_Axis_Pos_16,Tr?c cho ?n 1_tr?c_??a ?i?m_16
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_17,24034,上料轴1_Axis_Pos_17,Loading shaft 1_Axis_Pos_17,Tr?c cho ?n 1_tr?c_??a ?i?m_17
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_18,24036,上料轴1_Axis_Pos_18,Loading shaft 1_Axis_Pos_18,Tr?c cho ?n 1_tr?c_??a ?i?m_18
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_19,24038,上料轴1_Axis_Pos_19,Loading shaft 1_Axis_Pos_19,Tr?c cho ?n 1_tr?c_??a ?i?m_19
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_20,24040,上料轴1_Axis_Pos_20,Loading shaft 1_Axis_Pos_20,Tr?c cho ?n 1_tr?c_??a ?i?m_20
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_21,24042,上料轴1_Axis_Pos_21,Loading shaft 1_Axis_Pos_21,Tr?c cho ?n 1_tr?c_??a ?i?m_21
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_22,24044,上料轴1_Axis_Pos_22,Loading shaft 1_Axis_Pos_22,Tr?c cho ?n 1_tr?c_??a ?i?m_22
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_23,24046,上料轴1_Axis_Pos_23,Loading shaft 1_Axis_Pos_23,Tr?c cho ?n 1_tr?c_??a ?i?m_23
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_24,24048,上料轴1_Axis_Pos_24,Loading shaft 1_Axis_Pos_24,Tr?c cho ?n 1_tr?c_??a ?i?m_24
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_25,24050,上料轴1_Axis_Pos_25,Loading shaft 1_Axis_Pos_25,Tr?c cho ?n 1_tr?c_??a ?i?m_25
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_26,24052,上料轴1_Axis_Pos_26,Loading shaft 1_Axis_Pos_26,Tr?c cho ?n 1_tr?c_??a ?i?m_26
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_27,24054,上料轴1_Axis_Pos_27,Loading shaft 1_Axis_Pos_27,Tr?c cho ?n 1_tr?c_??a ?i?m_27
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_28,24056,上料轴1_Axis_Pos_28,Loading shaft 1_Axis_Pos_28,Tr?c cho ?n 1_tr?c_??a ?i?m_28
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_29,24058,上料轴1_Axis_Pos_29,Loading shaft 1_Axis_Pos_29,Tr?c cho ?n 1_tr?c_??a ?i?m_29
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_30,24060,上料轴1_Axis_Pos_30,Loading shaft 1_Axis_Pos_30,Tr?c cho ?n 1_tr?c_??a ?i?m_30
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_31,24062,上料轴1_Axis_Pos_31,Loading shaft 1_Axis_Pos_31,Tr?c cho ?n 1_tr?c_??a ?i?m_31
PLC/上料轴1_Axis_Pos,上料轴1_Axis_Pos_32,24064,上料轴1_Axis_Pos_32,Loading shaft 1_Axis_Pos_32,Tr?c cho ?n 1_tr?c_??a ?i?m_32
