Category,Name,Offset,NameByCN,NameByEN,NameByVI
PLC/信捷Z1轴_PC位置,信捷Z1轴_PC位置_0,43000,信捷Z1轴_PC位置_0,XINJE Z1 Axis_PC Position 0,Tr?c Z1 XINJE_V? trí_PC_0
PLC/信捷Z1轴_PC位置,信捷Z1轴_PC位置_1,43002,信捷Z1轴_PC位置_1,XINJE Z1 Axis_PC Position 1,Tr?c Z1 XINJE_V? trí_PC_1
PLC/信捷Z1轴_PC位置,信捷Z1轴_PC位置_2,43004,信捷Z1轴_PC位置_2,XINJE Z1 Axis_PC Position 2,Tr?c Z1 XINJE_V? trí_PC_2
PLC/信捷Z1轴_PC位置,信捷Z1轴_PC位置_3,43006,信捷Z1轴_PC位置_3,XINJE Z1 Axis_PC Position 3,Tr?c Z1 XINJE_V? trí_PC_3
PLC/信捷Z1轴_PC位置,信捷Z1轴_PC位置_4,43008,信捷Z1轴_PC位置_4,XINJE Z1 Axis_PC Position 4,Tr?c Z1 XINJE_V? trí_PC_4
PLC/信捷Z1轴_PC位置,信捷Z1轴_PC位置_5,43010,信捷Z1轴_PC位置_5,XINJE Z1 Axis_PC Position 5,Tr?c Z1 XINJE_V? trí_PC_5
PLC/信捷Z1轴_PC位置,信捷Z1轴_PC位置_6,43012,信捷Z1轴_PC位置_6,XINJE Z1 Axis_PC Position 6,Tr?c Z1 XINJE_V? trí_PC_6
PLC/信捷Z1轴_PC位置,信捷Z1轴_PC位置_7,43014,信捷Z1轴_PC位置_7,XINJE Z1 Axis_PC Position 7,Tr?c Z1 XINJE_V? trí_PC_7
PLC/信捷Z1轴_PC位置,信捷Z1轴_PC位置_8,43016,信捷Z1轴_PC位置_8,XINJE Z1 Axis_PC Position 8,Tr?c Z1 XINJE_V? trí_PC_8
PLC/信捷Z1轴_PC位置,信捷Z1轴_PC位置_9,43018,信捷Z1轴_PC位置_9,XINJE Z1 Axis_PC Position 9,Tr?c Z1 XINJE_V? trí_PC_9
PLC/信捷Z1轴_PC位置,信捷Z1轴_PC位置_10,43020,信捷Z1轴_PC位置_10,XINJE Z1 Axis_PC Position 10,Tr?c Z1 XINJE_V? trí_PC_10
PLC/信捷Z1轴_PC位置,信捷Z1轴_PC位置_11,43022,信捷Z1轴_PC位置_11,XINJE Z1 Axis_PC Position 11,Tr?c Z1 XINJE_V? trí_PC_11
