Id,Offset,Name,TipMessage,Comment,NameByCN,NameByEN,NameByVI
1,22500,上料轴1_未使能提示,,,上料轴1_未使能提示,Load_Axis1_Not_Enabled,Loading Axis 1_Ch?a cho phép ho?t ??ng
2,22501,上料轴1_指令报错,,,上料轴1_指令报错,Load_Axis1_Command_Error,Loading Axis 1_L?i l?nh
3,22502,上料轴1_正极限,,,上料轴1_正极限,Load_Axis1_Pos_Limit,Loading Axis 1_Gi?i h?n d??ng
4,22503,上料轴1_负极限,,,上料轴1_负极限,Load_Axis1_Neg_Limit,Loading Axis 1_Gi?i h?n am
5,22504,上料轴1_JOG安全条件报警,,,上料轴1_JOG安全条件报警,Load_Axis1_JOG_Safety_Alarm,Loading Axis 1_C?nh báo ?i?u ki?n an toàn JOG
6,22505,上料轴1_PTP安全条件报警,,,上料轴1_PTP安全条件报警,Load_Axis1_PTP_Safety_Alarm,Loading Axis 1_C?nh báo ?i?u ki?n an toàn PTP
7,22506,上料轴1_手自动不一致,,,上料轴1_手自动不一致,Load_Axis1_Manual_Auto_Mismatch,Loading Axis 1_Kh?ng ??ng b? tay-t? ??ng
8,22507,上料轴2_未使能提示,,,上料轴2_未使能提示,Load_Axis2_Not_Enabled,Loading Axis 2_Ch?a cho phép ho?t ??ng
9,22508,上料轴2_指令报错,,,上料轴2_指令报错,Load_Axis2_Command_Error,Loading Axis 2_L?i l?nh
10,22509,上料轴2_正极限,,,上料轴2_正极限,Load_Axis2_Pos_Limit,Loading Axis 2_Gi?i h?n d??ng
11,22510,上料轴2_负极限,,,上料轴2_负极限,Load_Axis2_Neg_Limit,Loading Axis 2_Gi?i h?n am
12,22511,上料轴2_JOG安全条件报警,,,上料轴2_JOG安全条件报警,Load_Axis2_JOG_Safety_Alarm,Loading Axis 2_C?nh báo ?i?u ki?n an toàn JOG
13,22512,上料轴2_PTP安全条件报警,,,上料轴2_PTP安全条件报警,Load_Axis2_PTP_Safety_Alarm,Loading Axis 2_C?nh báo ?i?u ki?n an toàn PTP
14,22513,上料轴2_手自动不一致,,,上料轴2_手自动不一致,Load_Axis2_Manual_Auto_Mismatch,Loading Axis 2_Kh?ng ??ng b? tay-t? ??ng
15,22514,X轴_未使能提示,,,X轴_未使能提示,X_Axis_Not_Enabled,Tr?c X_Ch?a cho phép ho?t ??ng
16,22515,X轴_指令报错,,,X轴_指令报错,X_Axis_Command_Error,Tr?c X_L?i l?nh
17,22516,X轴_正极限,,,X轴_正极限,X_Axis_Pos_Limit,Tr?c X_Gi?i h?n d??ng
18,22517,X轴_负极限,,,X轴_负极限,X_Axis_Neg_Limit,Tr?c X_Gi?i h?n am
19,22518,X轴_JOG安全条件报警,,,X轴_JOG安全条件报警,X_Axis_JOG_Safety_Alarm,Tr?c X_C?nh báo ?i?u ki?n an toàn JOG
20,22519,X轴_PTP安全条件报警,,,X轴_PTP安全条件报警,X_Axis_PTP_Safety_Alarm,Tr?c X_C?nh báo ?i?u ki?n an toàn PTP
21,22520,X轴_手自动不一致,,,X轴_手自动不一致,X_Axis_Manual_Auto_Mismatch,Tr?c X_Kh?ng ??ng b? tay-t? ??ng
22,22521,Y轴_未使能提示,,,Y轴_未使能提示,Y_Axis_Not_Enabled,Tr?c Y_Ch?a cho phép ho?t ??ng
23,22522,Y轴_指令报错,,,Y轴_指令报错,Y_Axis_Command_Error,Tr?c Y_L?i l?nh
24,22523,Y轴_正极限,,,Y轴_正极限,Y_Axis_Pos_Limit,Tr?c Y_Gi?i h?n d??ng
25,22524,Y轴_负极限,,,Y轴_负极限,Y_Axis_Neg_Limit,Tr?c Y_Gi?i h?n am
26,22525,Y轴_JOG安全条件报警,,,Y轴_JOG安全条件报警,Y_Axis_JOG_Safety_Alarm,Tr?c Y_C?nh báo ?i?u ki?n an toàn JOG
27,22526,Y轴_PTP安全条件报警,,,Y轴_PTP安全条件报警,Y_Axis_PTP_Safety_Alarm,Tr?c Y_C?nh báo ?i?u ki?n an toàn PTP
28,22527,Y轴_手自动不一致,,,Y轴_手自动不一致,Y_Axis_Manual_Auto_Mismatch,Tr?c Y_Kh?ng ??ng b? tay-t? ??ng
29,22528,相机调节步进轴_未使能提示,,,相机调节步进轴_未使能提示,Cam_Adj_Step_Axis_Not_Enabled,Tr?c b??c ?i?u ch?nh camera_Ch?a cho phép ho?t ??ng
30,22529,相机调节步进轴_指令报错,,,相机调节步进轴_指令报错,Cam_Adj_Step_Axis_Command_Error,Tr?c b??c ?i?u ch?nh camera_L?i l?nh
31,22530,相机调节步进轴_正极限,,,相机调节步进轴_正极限,Cam_Adj_Step_Axis_Pos_Limit,Tr?c b??c ?i?u ch?nh camera_Gi?i h?n d??ng
32,22531,相机调节步进轴_负极限,,,相机调节步进轴_负极限,Cam_Adj_Step_Axis_Neg_Limit,Tr?c b??c ?i?u ch?nh camera_Gi?i h?n am
33,22532,相机调节步进轴_JOG安全条件报警,,,相机调节步进轴_JOG安全条件报警,Cam_Adj_Step_Axis_JOG_Safety_Alarm,Tr?c b??c ?i?u ch?nh camera_C?nh báo ?i?u ki?n an toàn JOG
34,22533,相机调节步进轴_PTP安全条件报警,,,相机调节步进轴_PTP安全条件报警,Cam_Adj_Step_Axis_PTP_Safety_Alarm,Tr?c b??c ?i?u ch?nh camera_C?nh báo ?i?u ki?n an toàn PTP
35,22534,相机调节步进轴_手自动不一致,,,相机调节步进轴_手自动不一致,Cam_Adj_Step_Axis_Manual_Auto_Mismatch,Tr?c b??c ?i?u ch?nh camera_Kh?ng ??ng b? tay-t? ??ng
36,22535,吸料轴Z1_未使能提示,,,吸料轴Z1_未使能提示,Pick_Axis_Z1_Not_Enabled,Feeding Axis Z1_Ch?a cho phép ho?t ??ng
37,22536,吸料轴Z1_指令报错,,,吸料轴Z1_指令报错,Pick_Axis_Z1_Command_Error,Feeding Axis Z1_L?i l?nh
38,22537,吸料轴Z1_正极限,,,吸料轴Z1_正极限,Pick_Axis_Z1_Pos_Limit,Feeding Axis Z1_Gi?i h?n d??ng
39,22538,吸料轴Z1_负极限,,,吸料轴Z1_负极限,Pick_Axis_Z1_Neg_Limit,Feeding Axis Z1_Gi?i h?n am
40,22539,吸料轴Z1_JOG安全条件报警,,,吸料轴Z1_JOG安全条件报警,Pick_Axis_Z1_JOG_Safety_Alarm,Feeding Axis Z1_C?nh báo ?i?u ki?n an toàn JOG
41,22540,吸料轴Z1_PTP安全条件报警,,,吸料轴Z1_PTP安全条件报警,Pick_Axis_Z1_PTP_Safety_Alarm,Feeding Axis Z1_C?nh báo ?i?u ki?n an toàn PTP
