Category,Name,Offset,NameByCN,NameByEN,NameByVI
PLC/X_Axis_Pos,X_Axis_Pos_0,24000,X_Axis_Pos_0,X_Axis_Pos_0,X_trục_Địa điểm_0
PLC/X_Axis_Pos,X_Axis_Pos_1,24002,X_Axis_Pos_1,X_Axis_Pos_1,X_trục_Địa điểm_1
PLC/X_Axis_Pos,X_Axis_Pos_2,24004,X_Axis_Pos_2,X_Axis_Pos_2,X_trục_Địa điểm_2
PLC/X_Axis_Pos,X_Axis_Pos_3,24006,X_Axis_Pos_3,X_Axis_Pos_3,X_trục_Địa điểm_3
PLC/X_Axis_Pos,X_Axis_Pos_4,24008,X_Axis_Pos_4,X_Axis_Pos_4,X_trục_Địa điểm_4
PLC/X_Axis_Pos,X_Axis_Pos_5,24010,X_Axis_Pos_5,X_Axis_Pos_5,X_trục_Địa điểm_5
PLC/X_Axis_Pos,X_Axis_Pos_6,24012,X_Axis_Pos_6,X_Axis_Pos_6,X_trục_Địa điểm_6
PLC/X_Axis_Pos,X_Axis_Pos_7,24014,X_Axis_Pos_7,X_Axis_Pos_7,X_trục_Địa điểm_7
PLC/X_Axis_Pos,X_Axis_Pos_8,24016,X_Axis_Pos_8,X_Axis_Pos_8,X_trục_Địa điểm_8
PLC/X_Axis_Pos,X_Axis_Pos_9,24018,X_Axis_Pos_9,X_Axis_Pos_9,X_trục_Địa điểm_9
PLC/X_Axis_Pos,X_Axis_Pos_10,24020,X_Axis_Pos_10,X_Axis_Pos_10,X_trục_Địa điểm_10
PLC/X_Axis_Pos,X_Axis_Pos_11,24022,X_Axis_Pos_11,X_Axis_Pos_11,X_trục_Địa điểm_11
PLC/X_Axis_Pos,X_Axis_Pos_12,24024,X_Axis_Pos_12,X_Axis_Pos_12,X_trục_Địa điểm_12
PLC/X_Axis_Pos,X_Axis_Pos_13,24026,X_Axis_Pos_13,X_Axis_Pos_13,X_trục_Địa điểm_13
PLC/X_Axis_Pos,X_Axis_Pos_14,24028,X_Axis_Pos_14,X_Axis_Pos_14,X_trục_Địa điểm_14
PLC/X_Axis_Pos,X_Axis_Pos_15,24030,X_Axis_Pos_15,X_Axis_Pos_15,X_trục_Địa điểm_15
PLC/X_Axis_Pos,X_Axis_Pos_16,24032,X_Axis_Pos_16,X_Axis_Pos_16,X_trục_Địa điểm_16
PLC/X_Axis_Pos,X_Axis_Pos_17,24034,X_Axis_Pos_17,X_Axis_Pos_17,X_trục_Địa điểm_17
PLC/X_Axis_Pos,X_Axis_Pos_18,24036,X_Axis_Pos_18,X_Axis_Pos_18,X_trục_Địa điểm_18
PLC/X_Axis_Pos,X_Axis_Pos_19,24038,X_Axis_Pos_19,X_Axis_Pos_19,X_trục_Địa điểm_19
PLC/X_Axis_Pos,X_Axis_Pos_20,24040,X_Axis_Pos_20,X_Axis_Pos_20,X_trục_Địa điểm_20

PLC/X_Axis_Vel,X_Axis_Vel_0,24050,X_Axis_Vel_0,X_Axis_Vel_0,X_trục_tốc độ_0
PLC/X_Axis_Vel,X_Axis_Vel_1,24052,X_Axis_Vel_1,X_Axis_Vel_1,X_trục_tốc độ_1
PLC/X_Axis_Vel,X_Axis_Vel_2,24054,X_Axis_Vel_2,X_Axis_Vel_2,X_trục_tốc độ_2
PLC/X_Axis_Vel,X_Axis_Vel_3,24056,X_Axis_Vel_3,X_Axis_Vel_3,X_trục_tốc độ_3
PLC/X_Axis_Vel,X_Axis_Vel_4,24058,X_Axis_Vel_4,X_Axis_Vel_4,X_trục_tốc độ_4
PLC/X_Axis_Vel,X_Axis_Vel_5,24060,X_Axis_Vel_5,X_Axis_Vel_5,X_trục_tốc độ_5
PLC/X_Axis_Vel,X_Axis_Vel_6,24062,X_Axis_Vel_6,X_Axis_Vel_6,X_trục_tốc độ_6
PLC/X_Axis_Vel,X_Axis_Vel_7,24064,X_Axis_Vel_7,X_Axis_Vel_7,X_trục_tốc độ_7
PLC/X_Axis_Vel,X_Axis_Vel_8,24066,X_Axis_Vel_8,X_Axis_Vel_8,X_trục_tốc độ_8
PLC/X_Axis_Vel,X_Axis_Vel_9,24068,X_Axis_Vel_9,X_Axis_Vel_9,X_trục_tốc độ_9
PLC/X_Axis_Vel,X_Axis_Vel_10,24070,X_Axis_Vel_10,X_Axis_Vel_10,X_trục_tốc độ_10
PLC/X_Axis_Vel,X_Axis_Vel_11,24072,X_Axis_Vel_11,X_Axis_Vel_11,X_trục_tốc độ_11
PLC/X_Axis_Vel,X_Axis_Vel_12,24074,X_Axis_Vel_12,X_Axis_Vel_12,X_trục_tốc độ_12
PLC/X_Axis_Vel,X_Axis_Vel_13,24076,X_Axis_Vel_13,X_Axis_Vel_13,X_trục_tốc độ_13
PLC/X_Axis_Vel,X_Axis_Vel_14,24078,X_Axis_Vel_14,X_Axis_Vel_14,X_trục_tốc độ_14
PLC/X_Axis_Vel,X_Axis_Vel_15,24080,X_Axis_Vel_15,X_Axis_Vel_15,X_trục_tốc độ_15
PLC/X_Axis_Vel,X_Axis_Vel_16,24082,X_Axis_Vel_16,X_Axis_Vel_16,X_trục_tốc độ_16
PLC/X_Axis_Vel,X_Axis_Vel_17,24084,X_Axis_Vel_17,X_Axis_Vel_17,X_trục_tốc độ_17
PLC/X_Axis_Vel,X_Axis_Vel_18,24086,X_Axis_Vel_18,X_Axis_Vel_18,X_trục_tốc độ_18
PLC/X_Axis_Vel,X_Axis_Vel_19,24088,X_Axis_Vel_19,X_Axis_Vel_19,X_trục_tốc độ_19
PLC/X_Axis_Vel,X_Axis_Vel_20,24090,X_Axis_Vel_20,X_Axis_Vel_20,X_trục_tốc độ_20

PLC/Y_Axis_Pos,Y_Axis_Pos_0,24100,Y_Axis_Pos_0,Y_Axis_Pos_0,Y_trục_Địa điểm_0
PLC/Y_Axis_Pos,Y_Axis_Pos_1,24102,Y_Axis_Pos_1,Y_Axis_Pos_1,Y_trục_Địa điểm_1
PLC/Y_Axis_Pos,Y_Axis_Pos_2,24104,Y_Axis_Pos_2,Y_Axis_Pos_2,Y_trục_Địa điểm_2
PLC/Y_Axis_Pos,Y_Axis_Pos_3,24106,Y_Axis_Pos_3,Y_Axis_Pos_3,Y_trục_Địa điểm_3
PLC/Y_Axis_Pos,Y_Axis_Pos_4,24108,Y_Axis_Pos_4,Y_Axis_Pos_4,Y_trục_Địa điểm_4
PLC/Y_Axis_Pos,Y_Axis_Pos_5,24110,Y_Axis_Pos_5,Y_Axis_Pos_5,Y_trục_Địa điểm_5
PLC/Y_Axis_Pos,Y_Axis_Pos_6,24112,Y_Axis_Pos_6,Y_Axis_Pos_6,Y_trục_Địa điểm_6
PLC/Y_Axis_Pos,Y_Axis_Pos_7,24114,Y_Axis_Pos_7,Y_Axis_Pos_7,Y_trục_Địa điểm_7
PLC/Y_Axis_Pos,Y_Axis_Pos_8,24116,Y_Axis_Pos_8,Y_Axis_Pos_8,Y_trục_Địa điểm_8
PLC/Y_Axis_Pos,Y_Axis_Pos_9,24118,Y_Axis_Pos_9,Y_Axis_Pos_9,Y_trục_Địa điểm_9
PLC/Y_Axis_Pos,Y_Axis_Pos_10,24120,Y_Axis_Pos_10,Y_Axis_Pos_10,Y_trục_Địa điểm_10
PLC/Y_Axis_Pos,Y_Axis_Pos_11,24122,Y_Axis_Pos_11,Y_Axis_Pos_11,Y_trục_Địa điểm_11
PLC/Y_Axis_Pos,Y_Axis_Pos_12,24124,Y_Axis_Pos_12,Y_Axis_Pos_12,Y_trục_Địa điểm_12
PLC/Y_Axis_Pos,Y_Axis_Pos_13,24126,Y_Axis_Pos_13,Y_Axis_Pos_13,Y_trục_Địa điểm_13
PLC/Y_Axis_Pos,Y_Axis_Pos_14,24128,Y_Axis_Pos_14,Y_Axis_Pos_14,Y_trục_Địa điểm_14
PLC/Y_Axis_Pos,Y_Axis_Pos_15,24130,Y_Axis_Pos_15,Y_Axis_Pos_15,Y_trục_Địa điểm_15
PLC/Y_Axis_Pos,Y_Axis_Pos_16,24132,Y_Axis_Pos_16,Y_Axis_Pos_16,Y_trục_Địa điểm_16
PLC/Y_Axis_Pos,Y_Axis_Pos_17,24134,Y_Axis_Pos_17,Y_Axis_Pos_17,Y_trục_Địa điểm_17
PLC/Y_Axis_Pos,Y_Axis_Pos_18,24136,Y_Axis_Pos_18,Y_Axis_Pos_18,Y_trục_Địa điểm_18
PLC/Y_Axis_Pos,Y_Axis_Pos_19,24138,Y_Axis_Pos_19,Y_Axis_Pos_19,Y_trục_Địa điểm_19
PLC/Y_Axis_Pos,Y_Axis_Pos_20,24140,Y_Axis_Pos_20,Y_Axis_Pos_20,Y_trục_Địa điểm_20

PLC/Y_Axis_Vel,Y_Axis_Vel_0,24150,Y_Axis_Vel_0,Y_Axis_Vel_0,Y_trục_tốc độ_0
PLC/Y_Axis_Vel,Y_Axis_Vel_1,24152,Y_Axis_Vel_1,Y_Axis_Vel_1,Y_trục_tốc độ_1
PLC/Y_Axis_Vel,Y_Axis_Vel_2,24154,Y_Axis_Vel_2,Y_Axis_Vel_2,Y_trục_tốc độ_2
PLC/Y_Axis_Vel,Y_Axis_Vel_3,24156,Y_Axis_Vel_3,Y_Axis_Vel_3,Y_trục_tốc độ_3
PLC/Y_Axis_Vel,Y_Axis_Vel_4,24158,Y_Axis_Vel_4,Y_Axis_Vel_4,Y_trục_tốc độ_4
PLC/Y_Axis_Vel,Y_Axis_Vel_5,24160,Y_Axis_Vel_5,Y_Axis_Vel_5,Y_trục_tốc độ_5
PLC/Y_Axis_Vel,Y_Axis_Vel_6,24162,Y_Axis_Vel_6,Y_Axis_Vel_6,Y_trục_tốc độ_6
PLC/Y_Axis_Vel,Y_Axis_Vel_7,24164,Y_Axis_Vel_7,Y_Axis_Vel_7,Y_trục_tốc độ_7
PLC/Y_Axis_Vel,Y_Axis_Vel_8,24166,Y_Axis_Vel_8,Y_Axis_Vel_8,Y_trục_tốc độ_8
PLC/Y_Axis_Vel,Y_Axis_Vel_9,24168,Y_Axis_Vel_9,Y_Axis_Vel_9,Y_trục_tốc độ_9
PLC/Y_Axis_Vel,Y_Axis_Vel_10,24170,Y_Axis_Vel_10,Y_Axis_Vel_10,Y_trục_tốc độ_10
PLC/Y_Axis_Vel,Y_Axis_Vel_11,24172,Y_Axis_Vel_11,Y_Axis_Vel_11,Y_trục_tốc độ_11
PLC/Y_Axis_Vel,Y_Axis_Vel_12,24174,Y_Axis_Vel_12,Y_Axis_Vel_12,Y_trục_tốc độ_12
PLC/Y_Axis_Vel,Y_Axis_Vel_13,24176,Y_Axis_Vel_13,Y_Axis_Vel_13,Y_trục_tốc độ_13
