Id,Offset,Name,TipMessage,Comment,NameByCN,NameByEN,NameByVI
1,22500,X轴1_未使能,,,X轴1_未使能,X Axis 1_Not Enabled Prompt,Loading Axis 1_Ch?a cho phép ho?t ??ng
2,22501,X轴1_指令报错,,,X轴1_指令报错,X Axis 1_Command Error,Loading Axis 1_L?i l?nh
3,22502,X轴1_正极限,,,X轴1_正极限,X Axis 1_Positive Limit,Loading Axis 1_Gi?i h?n d??ng
4,22503,X轴1_负极限,,,X轴1_负极限,X Axis 1_Negative Limit,Loading Axis 1_Gi?i h?n am
5,22504,X轴1_JOG安全条件报警,,,X轴1_JOG安全条件报警,X Axis 1_JOG Safety Condition Alarm,Loading Axis 1_C?nh báo ?i?u ki?n an toàn JOG
6,22505,X轴1_PTP安全条件报警,,,X轴1_PTP安全条件报警,X Axis 1_PTP Safety Condition Alarm,Loading Axis 1_C?nh báo ?i?u ki?n an toàn PTP
7,22506,X轴1_手自动不一致,,,X轴1_手自动不一致,X Axis 1_Manual/Auto Mismatch,Loading Axis 1_Kh?ng ??ng b? tay-t? ??ng
8,22507,X轴2_未使能,,,X轴2_未使能,X Axis 2_Not Enabled Prompt,Loading Axis 2_Ch?a cho phép ho?t ??ng
9,22508,X轴2_指令报错,,,X轴2_指令报错,X Axis 2_Command Error,Loading Axis 2_L?i l?nh
10,22509,X轴2_正极限,,,X轴2_正极限,X Axis 2_Positive Limit,Loading Axis 2_Gi?i h?n d??ng
11,22510,X轴2_负极限,,,X轴2_负极限,X Axis 2_Negative Limit,Loading Axis 2_Gi?i h?n am
12,22511,X轴2_JOG安全条件报警,,,X轴2_JOG安全条件报警,X Axis 2_JOG Safety Condition Alarm,Loading Axis 2_C?nh báo ?i?u ki?n an toàn JOG
13,22512,X轴2_PTP安全条件报警,,,X轴2_PTP安全条件报警,X Axis 2_PTP Safety Condition Alarm,Loading Axis 2_C?nh báo ?i?u ki?n an toàn PTP
14,22513,X轴2_手自动不一致,,,X轴2_手自动不一致,X Axis 2_Manual/Auto Mismatch,Loading Axis 2_Kh?ng ??ng b? tay-t? ??ng
15,22514,上料轴1_未使能,,,上料轴1_未使能,Loading Axis 1_Not Enabled Prompt,Tr?c X_Ch?a cho phép ho?t ??ng
16,22515,上料轴1_指令报错,,,上料轴1_指令报错,Loading Axis 1_Command Error,Tr?c X_L?i l?nh
17,22516,上料轴1_正极限,,,上料轴1_正极限,Loading Axis 1_Positive Limit,Tr?c X_Gi?i h?n d??ng
18,22517,上料轴1_负极限,,,上料轴1_负极限,Loading Axis 1_Negative Limit,Tr?c X_Gi?i h?n am
19,22518,上料轴1_JOG安全条件报警,,,上料轴1_JOG安全条件报警,Loading Axis 1_JOG Safety Condition Alarm,Tr?c X_C?nh báo ?i?u ki?n an toàn JOG
20,22519,上料轴1_PTP安全条件报警,,,上料轴1_PTP安全条件报警,Loading Axis 1_PTP Safety Condition Alarm,Tr?c X_C?nh báo ?i?u ki?n an toàn PTP
21,22520,上料轴1_手自动不一致,,,上料轴1_手自动不一致,Loading Axis 1_Manual/Auto Mismatch,Tr?c X_Kh?ng ??ng b? tay-t? ??ng
22,22521,上料轴2_未使能,,,上料轴2_未使能,Loading Axis 2_Not Enabled Prompt,Tr?c Y_Ch?a cho phép ho?t ??ng
23,22522,上料轴2_指令报错,,,上料轴2_指令报错,Loading Axis 2_Command Error,Tr?c Y_L?i l?nh
24,22523,上料轴2_正极限,,,上料轴2_正极限,Loading Axis 2_Positive Limit,Tr?c Y_Gi?i h?n d??ng
25,22524,上料轴2_负极限,,,上料轴2_负极限,Loading Axis 2_Negative Limit,Tr?c Y_Gi?i h?n am
26,22525,上料轴2_JOG安全条件报警,,,上料轴2_JOG安全条件报警,Loading Axis 2_JOG Safety Condition Alarm,Tr?c Y_C?nh báo ?i?u ki?n an toàn JOG
27,22526,上料轴2_PTP安全条件报警,,,上料轴2_PTP安全条件报警,Loading Axis 2_PTP Safety Condition Alarm,Tr?c Y_C?nh báo ?i?u ki?n an toàn PTP
28,22527,上料轴2_手自动不一致,,,上料轴2_手自动不一致,Loading Axis 2_Manual/Auto Mismatch,Tr?c Y_Kh?ng ??ng b? tay-t? ??ng
29,22528,线扫轴_未使能,,,线扫轴_未使能,Line Scan Axis_Not Enabled Prompt,Tr?c b??c ?i?u ch?nh camera_Ch?a cho phép ho?t ??ng
30,22529,线扫轴_指令报错,,,线扫轴_指令报错,Line Scan Axis_Command Error,Tr?c b??c ?i?u ch?nh camera_L?i l?nh
31,22530,线扫轴_正极限,,,线扫轴_正极限,Line Scan Axis_Positive Limit,Tr?c b??c ?i?u ch?nh camera_Gi?i h?n d??ng
32,22531,线扫轴_负极限,,,线扫轴_负极限,Line Scan Axis_Negative Limit,Tr?c b??c ?i?u ch?nh camera_Gi?i h?n am
33,22532,线扫轴_JOG安全条件报警,,,线扫轴_JOG安全条件报警,Line Scan Axis_JOG Safety Condition Alarm,Tr?c b??c ?i?u ch?nh camera_C?nh báo ?i?u ki?n an toàn JOG
34,22533,线扫轴_PTP安全条件报警,,,线扫轴_PTP安全条件报警,Line Scan Axis_PTP Safety Condition Alarm,Tr?c b??c ?i?u ch?nh camera_C?nh báo ?i?u ki?n an toàn PTP
35,22534,线扫轴_手自动不一致,,,线扫轴_手自动不一致,Line Scan Axis_Manual/Auto Mismatch,Tr?c b??c ?i?u ch?nh camera_Kh?ng ??ng b? tay-t? ??ng
36,22535,Y轴1_未使能,,,Y轴1_未使能,Y Axis 1_Not Enabled Prompt,Feeding Axis Z1_Ch?a cho phép ho?t ??ng
37,22536,Y轴1_指令报错,,,Y轴1_指令报错,Y Axis 1_Command Error,Feeding Axis Z1_L?i l?nh
38,22537,Y轴1_正极限,,,Y轴1_正极限,Y Axis 1_Positive Limit,Feeding Axis Z1_Gi?i h?n d??ng
39,22538,Y轴1_负极限,,,Y轴1_负极限,Y Axis 1_Negative Limit,Feeding Axis Z1_Gi?i h?n am
