Category,Name,Offset,NameByCN,NameByEN,NameByVI
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_0,24000,X轴1_Axis_Pos_0,X axis 1_Axis_Pos_0,Tr?c X 1_V?_trí_tr?c_0
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_1,24002,X轴1_Axis_Pos_1,X axis 1_Axis_Pos_1,Tr?c X 1_V?_trí_tr?c_1
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_2,24004,X轴1_Axis_Pos_2,X axis 1_Axis_Pos_2,Tr?c X 1_V?_trí_tr?c_2
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_3,24006,X轴1_Axis_Pos_3,X axis 1_Axis_Pos_3,Tr?c X 1_V?_trí_tr?c_3
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_4,24008,X轴1_Axis_Pos_4,X axis 1_Axis_Pos_4,Tr?c X 1_V?_trí_tr?c_4
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_5,24010,X轴1_Axis_Pos_5,X axis 1_Axis_Pos_5,Tr?c X 1_V?_trí_tr?c_5
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_6,24012,X轴1_Axis_Pos_6,X axis 1_Axis_Pos_6,Tr?c X 1_V?_trí_tr?c_6
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_7,24014,X轴1_Axis_Pos_7,X axis 1_Axis_Pos_7,Tr?c X 1_V?_trí_tr?c_7
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_8,24016,X轴1_Axis_Pos_8,X axis 1_Axis_Pos_8,Tr?c X 1_V?_trí_tr?c_8
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_9,24018,X轴1_Axis_Pos_9,X axis 1_Axis_Pos_9,Tr?c X 1_V?_trí_tr?c_9
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_10,24020,X轴1_Axis_Pos_10,X axis 1_Axis_Pos_10,Tr?c X 1_V?_trí_tr?c_10
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_11,24022,X轴1_Axis_Pos_11,X axis 1_Axis_Pos_11,Tr?c X 1_V?_trí_tr?c_11
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_12,24024,X轴1_Axis_Pos_12,X axis 1_Axis_Pos_12,Tr?c X 1_V?_trí_tr?c_12
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_13,24026,X轴1_Axis_Pos_13,X axis 1_Axis_Pos_13,Tr?c X 1_V?_trí_tr?c_13
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_14,24028,X轴1_Axis_Pos_14,X axis 1_Axis_Pos_14,Tr?c X 1_V?_trí_tr?c_14
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_15,24030,X轴1_Axis_Pos_15,X axis 1_Axis_Pos_15,Tr?c X 1_V?_trí_tr?c_15
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_16,24032,X轴1_Axis_Pos_16,X axis 1_Axis_Pos_16,Tr?c X 1_V?_trí_tr?c_16
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_17,24034,X轴1_Axis_Pos_17,X axis 1_Axis_Pos_17,Tr?c X 1_V?_trí_tr?c_17
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_18,24036,X轴1_Axis_Pos_18,X axis 1_Axis_Pos_18,Tr?c X 1_V?_trí_tr?c_18
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_19,24038,X轴1_Axis_Pos_19,X axis 1_Axis_Pos_19,Tr?c X 1_V?_trí_tr?c_19
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_20,24040,X轴1_Axis_Pos_20,X axis 1_Axis_Pos_20,Tr?c X 1_V?_trí_tr?c_20
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_21,24042,X轴1_Axis_Pos_21,X axis 1_Axis_Pos_21,Tr?c X 1_V?_trí_tr?c_21
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_22,24044,X轴1_Axis_Pos_22,X axis 1_Axis_Pos_22,Tr?c X 1_V?_trí_tr?c_22
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_23,24046,X轴1_Axis_Pos_23,X axis 1_Axis_Pos_23,Tr?c X 1_V?_trí_tr?c_23
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_24,24048,X轴1_Axis_Pos_24,X axis 1_Axis_Pos_24,Tr?c X 1_V?_trí_tr?c_24
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_25,24050,X轴1_Axis_Pos_25,X axis 1_Axis_Pos_25,Tr?c X 1_V?_trí_tr?c_25
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_26,24052,X轴1_Axis_Pos_26,X axis 1_Axis_Pos_26,Tr?c X 1_V?_trí_tr?c_26
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_27,24054,X轴1_Axis_Pos_27,X axis 1_Axis_Pos_27,Tr?c X 1_V?_trí_tr?c_27
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_28,24056,X轴1_Axis_Pos_28,X axis 1_Axis_Pos_28,Tr?c X 1_V?_trí_tr?c_28
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_29,24058,X轴1_Axis_Pos_29,X axis 1_Axis_Pos_29,Tr?c X 1_V?_trí_tr?c_29
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_30,24060,X轴1_Axis_Pos_30,X axis 1_Axis_Pos_30,Tr?c X 1_V?_trí_tr?c_30
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_31,24062,X轴1_Axis_Pos_31,X axis 1_Axis_Pos_31,Tr?c X 1_V?_trí_tr?c_31
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_32,24064,X轴1_Axis_Pos_32,X axis 1_Axis_Pos_32,Tr?c X 1_V?_trí_tr?c_32
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_33,24066,X轴1_Axis_Pos_33,X axis 1_Axis_Pos_33,Tr?c X 1_V?_trí_tr?c_33
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_34,24068,X轴1_Axis_Pos_34,X axis 1_Axis_Pos_34,Tr?c X 1_V?_trí_tr?c_34
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_35,24070,X轴1_Axis_Pos_35,X axis 1_Axis_Pos_35,Tr?c X 1_V?_trí_tr?c_35
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_36,24072,X轴1_Axis_Pos_36,X axis 1_Axis_Pos_36,Tr?c X 1_V?_trí_tr?c_36
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_37,24074,X轴1_Axis_Pos_37,X axis 1_Axis_Pos_37,Tr?c X 1_V?_trí_tr?c_37
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_38,24076,X轴1_Axis_Pos_38,X axis 1_Axis_Pos_38,Tr?c X 1_V?_trí_tr?c_38
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_39,24078,X轴1_Axis_Pos_39,X axis 1_Axis_Pos_39,Tr?c X 1_V?_trí_tr?c_39
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_40,24080,X轴1_Axis_Pos_40,X axis 1_Axis_Pos_40,Tr?c X 1_V?_trí_tr?c_40
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_41,24082,X轴1_Axis_Pos_41,X axis 1_Axis_Pos_41,Tr?c X 1_V?_trí_tr?c_41
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_42,24084,X轴1_Axis_Pos_42,X axis 1_Axis_Pos_42,Tr?c X 1_V?_trí_tr?c_42
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_43,24086,X轴1_Axis_Pos_43,X axis 1_Axis_Pos_43,Tr?c X 1_V?_trí_tr?c_43
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_44,24088,X轴1_Axis_Pos_44,X axis 1_Axis_Pos_44,Tr?c X 1_V?_trí_tr?c_44
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_45,24090,X轴1_Axis_Pos_45,X axis 1_Axis_Pos_45,Tr?c X 1_V?_trí_tr?c_45
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_46,24092,X轴1_Axis_Pos_46,X axis 1_Axis_Pos_46,Tr?c X 1_V?_trí_tr?c_46
PLC/X轴1_Axis_Pos,X轴1_Axis_Pos_47,24094,X轴1_Axis_Pos_47,X axis 1_Axis_Pos_47,Tr?c X 1_V?_trí_tr?c_47

PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_0,24100,X轴1_Axis_Vel_0,X axis 1_Axis_Vel_0,Tr?c X 1_T?c ?? tr?c_0
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_1,24102,X轴1_Axis_Vel_1,X axis 1_Axis_Vel_1,Tr?c X 1_T?c ?? tr?c_1
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_2,24104,X轴1_Axis_Vel_2,X axis 1_Axis_Vel_2,Tr?c X 1_T?c ?? tr?c_2
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_3,24106,X轴1_Axis_Vel_3,X axis 1_Axis_Vel_3,Tr?c X 1_T?c ?? tr?c_3
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_4,24108,X轴1_Axis_Vel_4,X axis 1_Axis_Vel_4,Tr?c X 1_T?c ?? tr?c_4
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_5,24110,X轴1_Axis_Vel_5,X axis 1_Axis_Vel_5,Tr?c X 1_T?c ?? tr?c_5
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_6,24112,X轴1_Axis_Vel_6,X axis 1_Axis_Vel_6,Tr?c X 1_T?c ?? tr?c_6
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_7,24114,X轴1_Axis_Vel_7,X axis 1_Axis_Vel_7,Tr?c X 1_T?c ?? tr?c_7
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_8,24116,X轴1_Axis_Vel_8,X axis 1_Axis_Vel_8,Tr?c X 1_T?c ?? tr?c_8
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_9,24118,X轴1_Axis_Vel_9,X axis 1_Axis_Vel_9,Tr?c X 1_T?c ?? tr?c_9
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_10,24120,X轴1_Axis_Vel_10,X axis 1_Axis_Vel_10,Tr?c X 1_T?c ?? tr?c_10
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_11,24122,X轴1_Axis_Vel_11,X axis 1_Axis_Vel_11,Tr?c X 1_T?c ?? tr?c_11
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_12,24124,X轴1_Axis_Vel_12,X axis 1_Axis_Vel_12,Tr?c X 1_T?c ?? tr?c_12
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_13,24126,X轴1_Axis_Vel_13,X axis 1_Axis_Vel_13,Tr?c X 1_T?c ?? tr?c_13
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_14,24128,X轴1_Axis_Vel_14,X axis 1_Axis_Vel_14,Tr?c X 1_T?c ?? tr?c_14
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_15,24130,X轴1_Axis_Vel_15,X axis 1_Axis_Vel_15,Tr?c X 1_T?c ?? tr?c_15
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_16,24132,X轴1_Axis_Vel_16,X axis 1_Axis_Vel_16,Tr?c X 1_T?c ?? tr?c_16
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_17,24134,X轴1_Axis_Vel_17,X axis 1_Axis_Vel_17,Tr?c X 1_T?c ?? tr?c_17
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_18,24136,X轴1_Axis_Vel_18,X axis 1_Axis_Vel_18,Tr?c X 1_T?c ?? tr?c_18
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_19,24138,X轴1_Axis_Vel_19,X axis 1_Axis_Vel_19,Tr?c X 1_T?c ?? tr?c_19
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_20,24140,X轴1_Axis_Vel_20,X axis 1_Axis_Vel_20,Tr?c X 1_T?c ?? tr?c_20
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_21,24142,X轴1_Axis_Vel_21,X axis 1_Axis_Vel_21,Tr?c X 1_T?c ?? tr?c_21
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_22,24144,X轴1_Axis_Vel_22,X axis 1_Axis_Vel_22,Tr?c X 1_T?c ?? tr?c_22
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_23,24146,X轴1_Axis_Vel_23,X axis 1_Axis_Vel_23,Tr?c X 1_T?c ?? tr?c_23
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_24,24148,X轴1_Axis_Vel_24,X axis 1_Axis_Vel_24,Tr?c X 1_T?c ?? tr?c_24
PLC/X轴1_Axis_Vel,X轴1_Axis_Vel_25,24150,X轴1_Axis_Vel_25,X axis 1_Axis_Vel_25,Tr?c X 1_T?c ?? tr?c_25
