Id,Offset,Name,TipMessage,Comment,NameByCN,NameByEN,NameByVI
1,22500,工位1Z轴M1指令报错,,,工位1Z轴M1指令报错,Load_Axis1_Not_Enabled,Loading Axis 1_Ch?a cho phép ho?t ??ng
2,22501,工位2Z轴M2指令报错,,,工位2Z轴M2指令报错,Load_Axis1_Command_Error,Loading Axis 1_L?i l?nh
3,22502,工位1X轴M3指令报错,,,工位1X轴M3指令报错,Load_Axis1_Pos_Limit,Loading Axis 1_Gi?i h?n d??ng
4,22503,工位2X轴M4指令报错,,,工位2X轴M4指令报错,Load_Axis1_Neg_Limit,Loading Axis 1_Gi?i h?n am
5,22504,工位1Y轴M5指令报错,,,工位1Y轴M5指令报错,Load_Axis1_JOG_Safety_Alarm,Loading Axis 1_C?nh báo ?i?u ki?n an toàn JOG
6,22505,工位2Y轴M6指令报错,,,工位2Y轴M6指令报错,Load_Axis1_PTP_Safety_Alarm,Loading Axis 1_C?nh báo ?i?u ki?n an toàn PTP
7,22506,工位1步进Z1轴M7指令报错,,,工位1步进Z1轴M7指令报错,Load_Axis1_Manual_Auto_Mismatch,Loading Axis 1_Kh?ng ??ng b? tay-t? ??ng
8,22507,工位2步进Z2轴M8指令报错,,,工位2步进Z2轴M8指令报错,Load_Axis2_Not_Enabled,Loading Axis 2_Ch?a cho phép ho?t ??ng
9,22508,工位1固高Y1轴M9指令报错,,,工位1固高Y1轴M9指令报错,Load_Axis2_Command_Error,Loading Axis 2_L?i l?nh
10,22509,工位2固高Y2轴M10指令报错,,,工位2固高Y2轴M10指令报错,Load_Axis2_Pos_Limit,Loading Axis 2_Gi?i h?n d??ng
11,22510,工位1升降Z轴未使能,,,工位1升降Z轴未使能,Load_Axis2_Neg_Limit,Loading Axis 2_Gi?i h?n am
12,22511,工位1Z轴Jog安全报警,,,工位1Z轴Jog安全报警,Load_Axis2_JOG_Safety_Alarm,Loading Axis 2_C?nh báo ?i?u ki?n an toàn JOG
13,22512,工位1Z轴PTP安全报警,,,工位1Z轴PTP安全报警,Load_Axis2_PTP_Safety_Alarm,Loading Axis 2_C?nh báo ?i?u ki?n an toàn PTP
14,22513,工位1Z轴手自动不一致报警,,,工位1Z轴手自动不一致报警,Load_Axis2_Manual_Auto_Mismatch,Loading Axis 2_Kh?ng ??ng b? tay-t? ??ng
15,22514,工位2Z轴Jog安全报警,,,工位2Z轴Jog安全报警,X_Axis_Not_Enabled,Tr?c X_Ch?a cho phép ho?t ??ng
16,22515,工位2Z轴PTP安全报警,,,工位2Z轴PTP安全报警,X_Axis_Command_Error,Tr?c X_L?i l?nh
17,22516,工位2Z轴手自动不一致报警,,,工位2Z轴手自动不一致报警,X_Axis_Pos_Limit,Tr?c X_Gi?i h?n d??ng
18,22517,工位2升降Z轴未使能,,,工位2升降Z轴未使能,X_Axis_Neg_Limit,Tr?c X_Gi?i h?n am
19,22518,工位1X轴Jog安全报警,,,工位1X轴Jog安全报警,X_Axis_JOG_Safety_Alarm,Tr?c X_C?nh báo ?i?u ki?n an toàn JOG
20,22519,工位1X轴PTP安全报警,,,工位1X轴PTP安全报警,X_Axis_PTP_Safety_Alarm,Tr?c X_C?nh báo ?i?u ki?n an toàn PTP
21,22520,工位1X轴手自动不一致报警,,,工位1X轴手自动不一致报警,X_Axis_Manual_Auto_Mismatch,Tr?c X_Kh?ng ??ng b? tay-t? ??ng
22,22521,工位1X轴未使能,,,工位1X轴未使能,Y_Axis_Not_Enabled,Tr?c Y_Ch?a cho phép ho?t ??ng
23,22522,工位2X轴Jog安全报警,,,工位2X轴Jog安全报警,Y_Axis_Command_Error,Tr?c Y_L?i l?nh
24,22523,工位2X轴PTP安全报警,,,工位2X轴PTP安全报警,Y_Axis_Pos_Limit,Tr?c Y_Gi?i h?n d??ng
25,22524,工位2X轴手自动不一致报警,,,工位2X轴手自动不一致报警,Y_Axis_Neg_Limit,Tr?c Y_Gi?i h?n am
26,22525,工位2X轴未使能,,,工位2X轴未使能,Y_Axis_JOG_Safety_Alarm,Tr?c Y_C?nh báo ?i?u ki?n an toàn JOG
27,22526,工位1Y轴Jog安全报警,,,工位1Y轴Jog安全报警,Y_Axis_PTP_Safety_Alarm,Tr?c Y_C?nh báo ?i?u ki?n an toàn PTP
28,22527,工位1Y轴PTP安全报警,,,工位1Y轴PTP安全报警,Y_Axis_Manual_Auto_Mismatch,Tr?c Y_Kh?ng ??ng b? tay-t? ??ng
