Name,DataDir,Offset,DataType,Description,InitExpress

上位机心跳,PC->PLC,4000,short,0-1跳变 1S间隔,

上位机状态,PC->PLC,4001,short,1=就绪，2=故障,

上位机错误码,PC->PLC,4002,long,"1=扫码枪未连接,2=MES未连接 ,3=IOT未连接,4=EAP未连接,5=打印机未连接",

工位1允许生产,PC->PLC,4005,short,"1=允许生产,2=扫码未通过,3=配方未响应,4=物料需更换",

工位2允许生产,PC->PLC,4006,short,"1=允许生产,2=扫码未通过,3=配方未响应,4=物料需更换",

上位机当前配方ID,PC->PLC,4010,short,上位机下发到PLC的配方ID,

配方上报请求,PC->PLC,4011,short,"1=请求,0=无请求",

配方下发请求,PC->PLC,4012,short,"1=请求,0=无请求",

工位1数据上报响应,PC->PLC,4015,short,"1=OK,2=NG",

工位2数据上报响应,PC->PLC,4016,short,"1=OK,2=NG",

工位1给plc响应,PC->PLC,4017,short,"1=OK,2=NG",

工位2给plc响应,PC->PLC,4018,short,"1=OK,2=NG",

扫码枪1触发结果,PC->PLC,4020,short,"1=OK,2=扫码枪连接错误,3=MES返回错误",

扫码枪2触发结果,PC->PLC,4021,short,"1=OK,2=扫码枪连接错误,3=MES返回错误",

工位1生产序号,PC->PLC,4024,int,PLC不用，视觉用,

工位2生产序号,PC->PLC,4026,int,PLC不用，视觉用,

吸头点检完成时间,PC->PLC,4030,long,PLC不用，PC记录用,

物料1启用状态,PC->PLC,21040,short,0不用，1启用,

物料2启用状态,PC->PLC,21041,short,0不用，2启用,

物料3启用状态,PC->PLC,21042,short,0不用，3启用,

物料4启用状态,PC->PLC,21043,short,0不用，4启用,

物料5启用状态,PC->PLC,21044,short,0不用，5启用,

物料6启用状态,PC->PLC,21045,short,0不用，6启用,

工单号PC下发,PC->PLC,4100,short,,

工号PC下发,PC->PLC,4140,short,,

扫码枪1扫码内容,PC->PLC,4300,short,40字 视觉用,

扫码枪2扫码内容,PC->PLC,4340,short,40字 视觉用,

Feeder1PC下发料号,PLC->PC,4200,int,,

Feeder1PC下发物料上料数量,PLC->PC,4202,int,,

Feeder1解锁请求,PC->PLC,4208,short,预留,

Feeder1换料请求,PC->PLC,4209,short,"1=查询是否允许换料,2=换料中,3=换料完成",

Feeder2PC下发料号,PLC->PC,4220,int,,

Feeder2PC下发物料上料数量,PLC->PC,4222,int,,

Feeder2解锁请求,PC->PLC,4228,short,预留,

Feeder2换料请求,PC->PLC,4229,short,"1=查询是否允许换料,2=换料中,3=换料完成",

Feeder3PC下发料号,PLC->PC,4240,int,,

Feeder3PC下发物料上料数量,PLC->PC,4242,int,,

Feeder3解锁请求,PC->PLC,4248,short,预留,

Feeder3换料请求,PC->PLC,4249,short,"1=查询是否允许换料,2=换料中,3=换料完成",

Feeder4PC下发料号,PLC->PC,4260,int,,

Feeder4PC下发物料上料数量,PLC->PC,4262,int,,

Feeder4解锁请求,PC->PLC,4268,short,预留,

Feeder4换料请求,PC->PLC,4269,short,"1=查询是否允许换料,2=换料中,3=换料完成",

Feeder5PC下发料号,PLC->PC,4280,int,,

Feeder5PC下发物料上料数量,PLC->PC,4282,int,,

Feeder5解锁请求,PC->PLC,4288,short,预留,

Feeder5换料请求,PC->PLC,4289,short,"1=查询是否允许换料,2=换料中,3=换料完成",

Feeder6PC下发料号,PLC->PC,4300,int,,

Feeder6PC下发物料上料数量,PLC->PC,4302,int,,

Feeder6解锁请求,PC->PLC,4308,short,预留,

Feeder6换料请求,PC->PLC,4309,short,"1=查询是否允许换料,2=换料中,3=换料完成",

吸头1点检结果,PC->PLC,4800,short,"1=OK,2=NG",

吸头2点检结果,PC->PLC,4810,short,"1=OK,2=NG",

吸头3点检结果,PC->PLC,4820,short,"1=OK,2=NG",

吸头4点检结果,PC->PLC,4830,short,"1=OK,2=NG",

吸头5点检结果,PC->PLC,4840,short,"1=OK,2=NG",

吸头6点检结果,PC->PLC,4850,short,"1=OK,2=NG",

吸头7点检结果,PC->PLC,4860,short,"1=OK,2=NG",

