Category,Name,Offset,NameByCN,NameByEN,NameByVI
PLC/X轴_Pos,X轴_Pos_1,24000,,,
PLC/X轴_Pos,X轴_Pos_2,24002,,,
PLC/X轴_Pos,X轴_Pos_3,24004,,,
PLC/X轴_Pos,X轴_Pos_4,24006,,,
PLC/X轴_Pos,X轴_Pos_5,24008,,,
PLC/X轴_Pos,X轴_Pos_6,24010,,,
PLC/X轴_Pos,X轴_Pos_7,24012,,,
PLC/X轴_Pos,X轴_Pos_8,24014,,,
PLC/X轴_Pos,X轴_Pos_9,24016,,,
PLC/X轴_Pos,X轴_Pos_10,24018,,,
PLC/X轴_Pos,X轴_Pos_11,24020,,,
PLC/X轴_Pos,X轴_Pos_12,24022,,,
PLC/X轴_Pos,X轴_Pos_13,24024,,,
PLC/X轴_Pos,X轴_Pos_14,24026,,,
PLC/X轴_Pos,X轴_Pos_15,24028,,,
PLC/X轴_Pos,X轴_Pos_16,24030,,,
PLC/X轴_Pos,X轴_Pos_17,24032,,,
PLC/X轴_Pos,X轴_Pos_18,24034,,,
PLC/X轴_Pos,X轴_Pos_19,24036,,,
PLC/X轴_Pos,X轴_Pos_20,24038,,,
PLC/X轴_Pos,X轴_Pos_21,24040,,,
PLC/X轴_Pos,X轴_Pos_22,24042,,,
PLC/X轴_Pos,X轴_Pos_23,24044,,,
PLC/X轴_Pos,X轴_Pos_24,24046,,,
PLC/X轴_Pos,X轴_Pos_25,24048,,,
PLC/X轴_Pos,X轴_Pos_26,24050,,,
PLC/X轴_Pos,X轴_Pos_27,24052,,,
PLC/X轴_Pos,X轴_Pos_28,24054,,,
PLC/X轴_Pos,X轴_Pos_29,24056,,,
PLC/X轴_Pos,X轴_Pos_30,24058,,,
PLC/X轴_Pos,X轴_Pos_31,24060,,,
PLC/X轴_Pos,X轴_Pos_32,24062,,,
PLC/X轴_Pos,X轴_Pos_33,24064,,,
PLC/X轴_Pos,X轴_Pos_34,24066,,,
PLC/X轴_Pos,X轴_Pos_35,24068,,,
PLC/X轴_Pos,X轴_Pos_36,24070,,,
PLC/X轴_Pos,X轴_Pos_37,24072,,,
PLC/X轴_Pos,X轴_Pos_38,24074,,,
PLC/X轴_Pos,X轴_Pos_39,24076,,,
PLC/X轴_Pos,X轴_Pos_40,24078,,,
PLC/X轴_Pos,X轴_Pos_41,24080,,,
PLC/X轴_Pos,X轴_Pos_42,24082,,,
PLC/X轴_Pos,X轴_Pos_43,24084,,,
PLC/X轴_Pos,X轴_Pos_44,24086,,,
PLC/X轴_Pos,X轴_Pos_45,24088,,,
PLC/X轴_Pos,X轴_Pos_46,24090,,,
PLC/X轴_Pos,X轴_Pos_47,24092,,,
PLC/X轴_Pos,X轴_Pos_48,24094,,,
PLC/X轴_Pos,X轴_Pos_49,24096,,,
PLC/X轴_Pos,X轴_Pos_50,24098,,,
PLC/X轴_Pos,X轴_Pos_51,24100,,,
PLC/X轴_Pos,X轴_Pos_52,24102,,,
PLC/X轴_Pos,X轴_Pos_53,24104,,,
PLC/X轴_Pos,X轴_Pos_54,24106,,,
PLC/X轴_Pos,X轴_Pos_55,24108,,,
PLC/X轴_Pos,X轴_Pos_56,24110,,,
PLC/X轴_Pos,X轴_Pos_57,24112,,,
PLC/X轴_Pos,X轴_Pos_58,24114,,,
PLC/X轴_Pos,X轴_Pos_59,24116,,,
PLC/X轴_Pos,X轴_Pos_60,24118,,,

PLC/X轴_Vel,X轴_Vel_1,24120,,,
PLC/X轴_Vel,X轴_Vel_2,24122,,,
PLC/X轴_Vel,X轴_Vel_3,24124,,,
PLC/X轴_Vel,X轴_Vel_4,24126,,,
PLC/X轴_Vel,X轴_Vel_5,24128,,,
PLC/X轴_Vel,X轴_Vel_6,24130,,,
PLC/X轴_Vel,X轴_Vel_7,24132,,,
PLC/X轴_Vel,X轴_Vel_8,24134,,,
PLC/X轴_Vel,X轴_Vel_9,24136,,,
PLC/X轴_Vel,X轴_Vel_10,24138,,,
PLC/X轴_Vel,X轴_Vel_11,24140,,,
PLC/X轴_Vel,X轴_Vel_12,24142,,,
PLC/X轴_Vel,X轴_Vel_13,24144,,,
PLC/X轴_Vel,X轴_Vel_14,24146,,,
PLC/X轴_Vel,X轴_Vel_15,24148,,,
PLC/X轴_Vel,X轴_Vel_16,24150,,,
PLC/X轴_Vel,X轴_Vel_17,24152,,,
PLC/X轴_Vel,X轴_Vel_18,24154,,,
PLC/X轴_Vel,X轴_Vel_19,24156,,,
PLC/X轴_Vel,X轴_Vel_20,24158,,,
PLC/X轴_Vel,X轴_Vel_21,24160,,,
PLC/X轴_Vel,X轴_Vel_22,24162,,,
PLC/X轴_Vel,X轴_Vel_23,24164,,,
PLC/X轴_Vel,X轴_Vel_24,24166,,,
PLC/X轴_Vel,X轴_Vel_25,24168,,,
PLC/X轴_Vel,X轴_Vel_26,24170,,,
PLC/X轴_Vel,X轴_Vel_27,24172,,,
PLC/X轴_Vel,X轴_Vel_28,24174,,,
PLC/X轴_Vel,X轴_Vel_29,24176,,,
PLC/X轴_Vel,X轴_Vel_30,24178,,,
PLC/X轴_Vel,X轴_Vel_31,24180,,,
PLC/X轴_Vel,X轴_Vel_32,24182,,,
PLC/X轴_Vel,X轴_Vel_33,24184,,,
PLC/X轴_Vel,X轴_Vel_34,24186,,,
PLC/X轴_Vel,X轴_Vel_35,24188,,,
PLC/X轴_Vel,X轴_Vel_36,24190,,,
PLC/X轴_Vel,X轴_Vel_37,24192,,,
PLC/X轴_Vel,X轴_Vel_38,24194,,,
PLC/X轴_Vel,X轴_Vel_39,24196,,,
PLC/X轴_Vel,X轴_Vel_40,24198,,,
PLC/X轴_Vel,X轴_Vel_41,24200,,,
PLC/X轴_Vel,X轴_Vel_42,24202,,,
PLC/X轴_Vel,X轴_Vel_43,24204,,,
PLC/X轴_Vel,X轴_Vel_44,24206,,,
PLC/X轴_Vel,X轴_Vel_45,24208,,,
PLC/X轴_Vel,X轴_Vel_46,24210,,,
PLC/X轴_Vel,X轴_Vel_47,24212,,,
PLC/X轴_Vel,X轴_Vel_48,24214,,,
PLC/X轴_Vel,X轴_Vel_49,24216,,,
PLC/X轴_Vel,X轴_Vel_50,24218,,,
PLC/X轴_Vel,X轴_Vel_51,24220,,,
PLC/X轴_Vel,X轴_Vel_52,24222,,,
PLC/X轴_Vel,X轴_Vel_53,24224,,,
PLC/X轴_Vel,X轴_Vel_54,24226,,,
PLC/X轴_Vel,X轴_Vel_55,24228,,,
PLC/X轴_Vel,X轴_Vel_56,24230,,,
PLC/X轴_Vel,X轴_Vel_57,24232,,,
PLC/X轴_Vel,X轴_Vel_58,24234,,,
PLC/X轴_Vel,X轴_Vel_59,24236,,,

PLC/Y轴_Pos,Y轴_Pos_1,24240,,,
PLC/Y轴_Pos,Y轴_Pos_2,24241,,,
PLC/Y轴_Pos,Y轴_Pos_3,24242,,,
PLC/Y轴_Pos,Y轴_Pos_4,24243,,,
PLC/Y轴_Pos,Y轴_Pos_5,24244,,,
PLC/Y轴_Pos,Y轴_Pos_6,24245,,,
PLC/Y轴_Pos,Y轴_Pos_7,24246,,,
PLC/Y轴_Pos,Y轴_Pos_8,24247,,,
PLC/Y轴_Pos,Y轴_Pos_9,24248,,,
PLC/Y轴_Pos,Y轴_Pos_10,24249,,,
PLC/Y轴_Pos,Y轴_Pos_11,24250,,,
PLC/Y轴_Pos,Y轴_Pos_12,24251,,,
PLC/Y轴_Pos,Y轴_Pos_13,24252,,,
PLC/Y轴_Pos,Y轴_Pos_14,24253,,,
PLC/Y轴_Pos,Y轴_Pos_15,24254,,,
PLC/Y轴_Pos,Y轴_Pos_16,24255,,,
PLC/Y轴_Pos,Y轴_Pos_17,24256,,,
PLC/Y轴_Pos,Y轴_Pos_18,24257,,,
PLC/Y轴_Pos,Y轴_Pos_19,24258,,,
PLC/Y轴_Pos,Y轴_Pos_20,24259,,,
PLC/Y轴_Pos,Y轴_Pos_21,24260,,,
PLC/Y轴_Pos,Y轴_Pos_22,24261,,,
PLC/Y轴_Pos,Y轴_Pos_23,24262,,,
PLC/Y轴_Pos,Y轴_Pos_24,24263,,,
PLC/Y轴_Pos,Y轴_Pos_25,24264,,,
PLC/Y轴_Pos,Y轴_Pos_26,24265,,,
PLC/Y轴_Pos,Y轴_Pos_27,24266,,,
PLC/Y轴_Pos,Y轴_Pos_28,24267,,,
PLC/Y轴_Pos,Y轴_Pos_29,24268,,,
PLC/Y轴_Pos,Y轴_Pos_30,24269,,,
PLC/Y轴_Pos,Y轴_Pos_31,24270,,,
PLC/Y轴_Pos,Y轴_Pos_32,24271,,,
PLC/Y轴_Pos,Y轴_Pos_33,24272,,,
PLC/Y轴_Pos,Y轴_Pos_34,24273,,,
PLC/Y轴_Pos,Y轴_Pos_35,24274,,,
PLC/Y轴_Pos,Y轴_Pos_36,24275,,,
PLC/Y轴_Pos,Y轴_Pos_37,24276,,,
PLC/Y轴_Pos,Y轴_Pos_38,24277,,,
PLC/Y轴_Pos,Y轴_Pos_39,24278,,,
PLC/Y轴_Pos,Y轴_Pos_40,24279,,,
PLC/Y轴_Pos,Y轴_Pos_41,24280,,,
PLC/Y轴_Pos,Y轴_Pos_42,24281,,,
PLC/Y轴_Pos,Y轴_Pos_43,24282,,,
PLC/Y轴_Pos,Y轴_Pos_44,24283,,,
PLC/Y轴_Pos,Y轴_Pos_45,24284,,,
PLC/Y轴_Pos,Y轴_Pos_46,24285,,,
PLC/Y轴_Pos,Y轴_Pos_47,24286,,,
PLC/Y轴_Pos,Y轴_Pos_48,24287,,,
PLC/Y轴_Pos,Y轴_Pos_49,24288,,,
PLC/Y轴_Pos,Y轴_Pos_50,24289,,,
PLC/Y轴_Pos,Y轴_Pos_51,24290,,,
PLC/Y轴_Pos,Y轴_Pos_52,24291,,,
PLC/Y轴_Pos,Y轴_Pos_53,24292,,,
PLC/Y轴_Pos,Y轴_Pos_54,24293,,,
PLC/Y轴_Pos,Y轴_Pos_55,24294,,,
PLC/Y轴_Pos,Y轴_Pos_56,24295,,,
PLC/Y轴_Pos,Y轴_Pos_57,24296,,,
PLC/Y轴_Pos,Y轴_Pos_58,24297,,,
PLC/Y轴_Pos,Y轴_Pos_59,24298,,,
PLC/Y轴_Pos,Y轴_Pos_60,24299,,,

PLC/Y轴_Vel,Y轴_Vel_1,24360,,,
PLC/Y轴_Vel,Y轴_Vel_2,24362,,,
PLC/Y轴_Vel,Y轴_Vel_3,24364,,,
PLC/Y轴_Vel,Y轴_Vel_4,24366,,,
PLC/Y轴_Vel,Y轴_Vel_5,24368,,,
PLC/Y轴_Vel,Y轴_Vel_6,24370,,,
PLC/Y轴_Vel,Y轴_Vel_7,24372,,,
PLC/Y轴_Vel,Y轴_Vel_8,24374,,,
PLC/Y轴_Vel,Y轴_Vel_9,24376,,,
PLC/Y轴_Vel,Y轴_Vel_10,24378,,,
PLC/Y轴_Vel,Y轴_Vel_11,24380,,,
PLC/Y轴_Vel,Y轴_Vel_12,24382,,,
PLC/Y轴_Vel,Y轴_Vel_13,24384,,,
PLC/Y轴_Vel,Y轴_Vel_14,24386,,,
PLC/Y轴_Vel,Y轴_Vel_15,24388,,,
PLC/Y轴_Vel,Y轴_Vel_16,24390,,,
PLC/Y轴_Vel,Y轴_Vel_17,24392,,,
PLC/Y轴_Vel,Y轴_Vel_18,24394,,,
PLC/Y轴_Vel,Y轴_Vel_19,24396,,,
PLC/Y轴_Vel,Y轴_Vel_20,24398,,,
PLC/Y轴_Vel,Y轴_Vel_21,24400,,,
PLC/Y轴_Vel,Y轴_Vel_22,24402,,,
PLC/Y轴_Vel,Y轴_Vel_23,24404,,,
PLC/Y轴_Vel,Y轴_Vel_24,24406,,,
PLC/Y轴_Vel,Y轴_Vel_25,24408,,,
PLC/Y轴_Vel,Y轴_Vel_26,24410,,,
PLC/Y轴_Vel,Y轴_Vel_27,24412,,,
PLC/Y轴_Vel,Y轴_Vel_28,24414,,,
PLC/Y轴_Vel,Y轴_Vel_29,24416,,,
PLC/Y轴_Vel,Y轴_Vel_30,24418,,,
PLC/Y轴_Vel,Y轴_Vel_31,24420,,,
PLC/Y轴_Vel,Y轴_Vel_32,24422,,,
