Id,Offset,Name,TipMessage,Comment,NameByCN,NameByEN,NameByVI
1,22500,X轴_未使能,,,X轴_未使能,Xaxis not enabled prompt,Loading Axis 1_Ch?a cho phép ho?t ??ng
2,22501,X轴_指令报错,,,X轴_指令报错,Xaxis command error,Loading Axis 1_L?i l?nh
3,22502,X轴_正极限,,,X轴_正极限,Xaxis_positive limit,Loading Axis 1_Gi?i h?n d??ng
4,22503,X轴_负极限,,,X轴_负极限,Xaxis_negative limit,Loading Axis 1_Gi?i h?n am
5,22504,X轴_JOG安全条件报警,,,X轴_JOG安全条件报警,Xaxis JOG safety condition alarm,Loading Axis 1_C?nh báo ?i?u ki?n an toàn JOG
6,22505,X轴_PTP安全条件报警,,,X轴_PTP安全条件报警,Xaxis PTP safety condition alarm,Loading Axis 1_C?nh báo ?i?u ki?n an toàn PTP
7,22506,X轴_手自动不一致,,,X轴_手自动不一致,Xaxis_hand automatic inconsistency,Loading Axis 1_Kh?ng ??ng b? tay-t? ??ng
8,22507,Y轴_未使能,,,Y轴_未使能,Yaxis not enabled prompt,Loading Axis 2_Ch?a cho phép ho?t ??ng
9,22508,Y轴_指令报错,,,Y轴_指令报错,Yaxis command error,Loading Axis 2_L?i l?nh
10,22509,Y轴_正极限,,,Y轴_正极限,Yaxis positive limit,Loading Axis 2_Gi?i h?n d??ng
11,22510,Y轴_负极限,,,Y轴_负极限,Yaxis  Negative Limit,Loading Axis 2_Gi?i h?n am
12,22511,Y轴_JOG安全条件报警,,,Y轴_JOG安全条件报警,Yaxis JOG safety condition alarm,Loading Axis 2_C?nh báo ?i?u ki?n an toàn JOG
13,22512,Y轴_PTP安全条件报警,,,Y轴_PTP安全条件报警,Yaxis PTP safety condition alarm,Loading Axis 2_C?nh báo ?i?u ki?n an toàn PTP
14,22513,Y轴_手自动不一致,,,Y轴_手自动不一致,Yaxis automatic inconsistency,Loading Axis 2_Kh?ng ??ng b? tay-t? ??ng
15,22514,Z轴_未使能,,,Z轴_未使能,Zaxis not enabled prompt,Tr?c X_Ch?a cho phép ho?t ??ng
16,22515,Z轴_指令报错,,,Z轴_指令报错,Zaxis command error,Tr?c X_L?i l?nh
17,22516,Z轴_正极限,,,Z轴_正极限,Zaxis positive limit,Tr?c X_Gi?i h?n d??ng
18,22517,Z轴_负极限,,,Z轴_负极限,Zaxis_negative limit,Tr?c X_Gi?i h?n am
19,22518,Z轴_JOG安全条件报警,,,Z轴_JOG安全条件报警,Zaxis JOG safety condition alarm,Tr?c X_C?nh báo ?i?u ki?n an toàn JOG
20,22519,Z轴_PTP安全条件报警,,,Z轴_PTP安全条件报警,Zaxis PTP safety condition alarm,Tr?c X_C?nh báo ?i?u ki?n an toàn PTP
21,22520,Z轴_手自动不一致,,,Z轴_手自动不一致,Zaxis automatic inconsistency,Tr?c X_Kh?ng ??ng b? tay-t? ??ng
22,22521,R轴_未使能,,,R轴_未使能,Raxis_not enabled prompt,Tr?c Y_Ch?a cho phép ho?t ??ng
23,22522,R轴_指令报错,,,R轴_指令报错,Raxis_instruction error,Tr?c Y_L?i l?nh
24,22523,R轴_正极限,,,R轴_正极限,Raxis_positive limit,Tr?c Y_Gi?i h?n d??ng
25,22524,R轴_负极限,,,R轴_负极限,Raxis_negative limit,Tr?c Y_Gi?i h?n am
26,22525,R轴_JOG安全条件报警,,,R轴_JOG安全条件报警,Raxis_JOG safety condition alarm,Tr?c Y_C?nh báo ?i?u ki?n an toàn JOG
27,22526,R轴_PTP安全条件报警,,,R轴_PTP安全条件报警,Raxis_PTP safety condition alarm,Tr?c Y_C?nh báo ?i?u ki?n an toàn PTP
28,22527,R轴_手自动不一致,,,R轴_手自动不一致,Raxis_hand automatic inconsistency,Tr?c Y_Kh?ng ??ng b? tay-t? ??ng
29,22528,上料轴1_未使能,,,上料轴1_未使能,Loading axis 1_ not enabled prompt,Tr?c b??c ?i?u ch?nh camera_Ch?a cho phép ho?t ??ng
30,22529,上料轴1_指令报错,,,上料轴1_指令报错,Loading axis 1_instruction error,Tr?c b??c ?i?u ch?nh camera_L?i l?nh
31,22530,上料轴1_正极限,,,上料轴1_正极限,Loading axis 1_positive limit,Tr?c b??c ?i?u ch?nh camera_Gi?i h?n d??ng
32,22531,上料轴1_负极限,,,上料轴1_负极限,Loading axis 1_negative limit,Tr?c b??c ?i?u ch?nh camera_Gi?i h?n am
33,22532,上料轴1_JOG安全条件报警,,,上料轴1_JOG安全条件报警,Loading shaft 1_JOG safety condition alarm,Tr?c b??c ?i?u ch?nh camera_C?nh báo ?i?u ki?n an toàn JOG
34,22533,上料轴1_PTP安全条件报警,,,上料轴1_PTP安全条件报警,Loading axis 1_PTP safety condition alarm,Tr?c b??c ?i?u ch?nh camera_C?nh báo ?i?u ki?n an toàn PTP
35,22534,上料轴1_手自动不一致,,,上料轴1_手自动不一致,The feeding axis 1_manual and automatic are inconsistent,Tr?c b??c ?i?u ch?nh camera_Kh?ng ??ng b? tay-t? ??ng
36,22535,上料轴2_未使能,,,上料轴2_未使能,Loading axis 2h not enabled prompt,Feeding Axis Z1_Ch?a cho phép ho?t ??ng
37,22536,上料轴2_指令报错,,,上料轴2_指令报错,Loading axis 2 instruction error,Feeding Axis Z1_L?i l?nh
38,22537,上料轴2_正极限,,,上料轴2_正极限,Loading axis 2positive limit,Feeding Axis Z1_Gi?i h?n d??ng
39,22538,上料轴2_负极限,,,上料轴2_负极限,Loading axis 2negative limit,Feeding Axis Z1_Gi?i h?n am
40,22539,上料轴2_JOG安全条件报警,,,上料轴2_JOG安全条件报警,Feeding shaft 2JOG safety condition alarm,Feeding Axis Z1_C?nh báo ?i?u ki?n an toàn JOG
41,22540,上料轴2_PTP安全条件报警,,,上料轴2_PTP安全条件报警,Feeding axis 2PTP safety condition alarm,Feeding Axis Z1_C?nh báo ?i?u ki?n an toàn PTP
42,22541,上料轴2_手自动不一致,,,上料轴2_手自动不一致,The feeding axis is not consistent between manual and automatic modes,Feeding Axis Z1_Kh?ng ??ng b? tay-t? ??ng
43,22542,相机调节步进轴_未使能,,,相机调节步进轴_未使能,Camera adjustment step axis not enabled prompt,Feeding Axis R1_Ch?a cho phép ho?t ??ng
44,22543,相机调节步进轴_指令报错,,,相机调节步进轴_指令报错,Camera adjustment step axialcommand error,Feeding Axis R1_L?i l?nh
45,22544,相机调节步进轴_正极限,,,相机调节步进轴_正极限,Camera adjustment step axialpositive limit,Feeding Axis R1_Gi?i h?n d??ng
46,22545,相机调节步进轴_负极限,,,相机调节步进轴_负极限,Camera adjustment step axialnegative limit,Feeding Axis R1_Gi?i h?n am
47,22546,相机调节步进轴_JOG安全条件报警,,,相机调节步进轴_JOG安全条件报警,Camera adjustment stepper shaft_JOG safety condition alarm,Feeding Axis R1_C?nh báo ?i?u ki?n an toàn JOG
48,22547,相机调节步进轴_PTP安全条件报警,,,相机调节步进轴_PTP安全条件报警,Camera adjustment step axis PTP safety condition alarm,Feeding Axis R1_C?nh báo ?i?u ki?n an toàn PTP
49,22548,相机调节步进轴_手自动不一致,,,相机调节步进轴_手自动不一致,Camera adjustment step axis inconsistent between manual and automatic modes,Feeding Axis R1_Kh?ng ??ng b? tay-t? ??ng
