Id,Offset,Name,TipMessage,Comment,NameByCN,NameByEN,NameByVI
1,22500,上料轴1_未使能提示,,,上料轴1_未使能提示,Load_Axis1_Not_Enabled,Loading Axis 1_Chưa cho phép hoạt động
2,22501,上料轴1_指令报错,,,上料轴1_指令报错,Load_Axis1_Command_Error,Loading Axis 1_Lỗi lệnh
3,22502,上料轴1_正极限,,,上料轴1_正极限,Load_Axis1_Pos_Limit,Loading Axis 1_Giới hạn dương
4,22503,上料轴1_负极限,,,上料轴1_负极限,Load_Axis1_Neg_Limit,Loading Axis 1_Giới hạn âm
5,22504,上料轴1_JOG安全条件报警,,,上料轴1_JOG安全条件报警,Load_Axis1_JOG_Safety_Alarm,Loading Axis 1_Cảnh báo điều kiện an toàn JOG
6,22505,上料轴1_PTP安全条件报警,,,上料轴1_PTP安全条件报警,Load_Axis1_PTP_Safety_Alarm,Loading Axis 1_Cảnh báo điều kiện an toàn PTP
7,22506,上料轴1_手自动不一致,,,上料轴1_手自动不一致,Load_Axis1_Manual_Auto_Mismatch,Loading Axis 1_Không đồng bộ taytự động
8,22507,上料轴2_未使能提示,,,上料轴2_未使能提示,Load_Axis2_Not_Enabled,Loading Axis 2_Chưa cho phép hoạt động
9,22508,上料轴2_指令报错,,,上料轴2_指令报错,Load_Axis2_Command_Error,Loading Axis 2_Lỗi lệnh
10,22509,上料轴2_正极限,,,上料轴2_正极限,Load_Axis2_Pos_Limit,Loading Axis 2_Giới hạn dương
11,22510,上料轴2_负极限,,,上料轴2_负极限,Load_Axis2_Neg_Limit,Loading Axis 2_Giới hạn âm
12,22511,上料轴2_JOG安全条件报警,,,上料轴2_JOG安全条件报警,Load_Axis2_JOG_Safety_Alarm,Loading Axis 2_Cảnh báo điều kiện an toàn JOG
13,22512,上料轴2_PTP安全条件报警,,,上料轴2_PTP安全条件报警,Load_Axis2_PTP_Safety_Alarm,Loading Axis 2_Cảnh báo điều kiện an toàn PTP
14,22513,上料轴2_手自动不一致,,,上料轴2_手自动不一致,Load_Axis2_Manual_Auto_Mismatch,Loading Axis 2_Không đồng bộ taytự động
15,22514,X轴_未使能提示,,,X轴_未使能提示,X_Axis_Not_Enabled,Trục X_Chưa cho phép hoạt động
16,22515,X轴_指令报错,,,X轴_指令报错,X_Axis_Command_Error,Trục X_Lỗi lệnh
17,22516,X轴_正极限,,,X轴_正极限,X_Axis_Pos_Limit,Trục X_Giới hạn dương
